PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,POS,HANDED,DRAFTED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,season,Y_Salary_Cap,Y_Salary_Cap_Percentage
Anze Kopitar,LAK,24,"Aug. 24, 1987",Slovenia,C,Left,11 - Round 1 - 2005 (LAK),LAK,Standard (1-way),21,,7,UFA,2016,"$6,800,000","$6,800,000","$6,500,000","$6,500,000",$0,$0,2012-13,60000000,0.11333333333333333
Mikko Koivu,-,29,"Mar. 12, 1983",Finland,C,Left,6 - Round 1 - 2001 (MIN),MIN,Standard (1-way),27,NMC,7,UFA,2018,"$6,750,000","$6,750,000","$5,400,000","$5,400,000",$0,$0,2012-13,60000000,0.1125
Pavel Datsyuk,-,33,"Jul. 20, 1978",Russia,"C, LW",Left,171 - Round 6 - 1998 (DET),DET,Standard (1-way),28,M-NTC,7,UFA,2014,"$6,700,000","$6,700,000","$6,700,000","$6,700,000",$0,$0,2012-13,60000000,0.11166666666666666
Nicklas Bäckström,WSH,24,"Nov. 23, 1987",Sweden,C,Left,4 - Round 1 - 2006 (WSH),WSH,Standard (1-way),22,,10,UFA,2020,"$6,700,000","$6,700,000","$6,000,000","$6,000,000",$0,$0,2012-13,60000000,0.11166666666666666
Jay Bouwmeester,-,28,"Sep. 27, 1983",Canada,LD,Left,3 - Round 1 - 2002 (FLA),CGY,Standard (1-way),25,,5,UFA,2014,"$6,680,000","$6,680,000","$6,600,000","$6,600,000",$0,$0,2012-13,60000000,0.11133333333333334
Brad Richards,-,32,"May 2, 1980",Canada,"C, LW",Left,64 - Round 3 - 1998 (TBL),NYR,Standard (1-way),31,,9,UFA,2020,"$6,666,666","$6,666,666","$12,000,000","$4,000,000","$8,000,000",$0,2012-13,60000000,0.1111111
Dan Boyle,-,35,"Jul. 12, 1976",Canada,LD,Right,-,TBL,Standard (1-way),31,M-NTC,6,UFA,2014,"$6,666,666","$6,666,666","$6,666,666","$6,666,666",$0,$0,2012-13,60000000,0.1111111
Ilya Kovalchuk,-,29,"Apr. 15, 1983",Russia,"LW, RW",Right,1 - Round 1 - 2001 (ATL),NJD,Standard (1-way),27,,15,UFA,2025,"$6,666,666","$6,666,666","$11,000,000","$11,000,000",$0,$0,2012-13,60000000,0.1111111
Paul Stastny,-,26,"Dec. 27, 1985",Canada,"C, LW",Left,44 - Round 2 - 2005 (COL),COL,Standard (1-way),22,,5,UFA,2014,"$6,600,000","$6,600,000","$6,600,000","$6,600,000",$0,$0,2012-13,60000000,0.11
Wade Redden,-,35,"Jun. 12, 1977",Canada,D,Left,2 - Round 1 - 1995 (NYI),NYR,Standard (1-way),31,,6,UFA,2014,"$6,500,000","$6,500,000","$5,000,000","$5,000,000",$0,$0,2012-13,60000000,0.10833333333333334
Carey Price,MTL,24,"Aug. 16, 1987",Canada,G,Left,5 - Round 1 - 2005 (MTL),MTL,Standard (1-way),24,,6,UFA,2018,"$6,500,000","$6,500,000","$5,500,000","$3,500,000","$2,000,000",$0,2012-13,60000000,0.10833333333333334
Dion Phaneuf,-,27,"Apr. 10, 1985",Canada,LD,Left,9 - Round 1 - 2003 (CGY),CGY,Standard (1-way),22,,6,UFA,2014,"$6,500,000","$6,500,000","$6,500,000","$6,500,000",$0,$0,2012-13,60000000,0.10833333333333334
Daniel Brière,-,34,"Oct. 6, 1977",Canada,C,Right,24 - Round 1 - 1996 (ARI),PHI,Standard (1-way),29,,8,UFA,2015,"$6,500,000","$6,500,000","$7,000,000","$7,000,000",$0,$0,2012-13,60000000,0.10833333333333334
Erik Karlsson,PIT,22,"May 31, 1990",Sweden,RD,Right,15 - Round 1 - 2008 (OTT),OTT,Standard (1-way),22,,7,UFA,2019,"$6,500,000","$6,500,000","$5,000,000","$4,000,000","$1,000,000",$0,2012-13,60000000,0.10833333333333334
Kimmo Timonen,-,37,"Mar. 18, 1975",Finland,D,Left,250 - Round 10 - 1993 (LAK),PHI,Standard (1-way),32,NMC,6,UFA,2013,"$6,333,333","$6,333,333","$3,000,000","$3,000,000",$0,$0,2012-13,60000000,0.10555555
Cam Ward,-,28,"Feb. 29, 1984",Canada,G,Left,25 - Round 1 - 2002 (CAR),CAR,Standard (1-way),25,NTC,6,UFA,2016,"$6,300,000","$6,300,000","$6,400,000","$6,400,000",$0,$0,2012-13,60000000,0.105
Jonathan Toews,-,24,"Apr. 29, 1988",Canada,C,Left,3 - Round 1 - 2006 (CHI),CHI,Standard (1-way),21,,5,UFA,2015,"$6,300,000","$6,300,000","$6,000,000","$6,000,000",$0,$0,2012-13,60000000,0.105
Patrick Kane,DET,23,"Nov. 19, 1988",United States,RW,Left,1 - Round 1 - 2007 (CHI),CHI,Standard (1-way),21,,5,UFA,2015,"$6,300,000","$6,300,000","$6,000,000","$6,000,000",$0,$0,2012-13,60000000,0.105
Ryan Miller,-,31,"Jul. 17, 1980",United States,G,Left,138 - Round 5 - 1999 (BUF),BUF,Standard (1-way),28,M-NTC,5,UFA,2014,"$6,250,000","$6,250,000","$6,250,000","$6,250,000",$0,$0,2012-13,60000000,0.10416666666666667
Daniel Sedin,-,31,"Sep. 26, 1980",Sweden,LW,Left,2 - Round 1 - 1999 (VAN),VAN,Standard (1-way),28,NMC,5,UFA,2014,"$6,100,000","$6,100,000","$6,100,000","$6,100,000",$0,$0,2012-13,60000000,0.10166666666666667
Henrik Sedin,-,31,"Sep. 26, 1980",Sweden,C,Left,3 - Round 1 - 1999 (VAN),VAN,Standard (1-way),28,NMC,5,UFA,2014,"$6,100,000","$6,100,000","$6,100,000","$6,100,000",$0,$0,2012-13,60000000,0.10166666666666667
Henrik Zetterberg,-,31,"Oct. 9, 1980",Sweden,C,Left,210 - Round 7 - 1999 (DET),DET,Standard (1-way),28,,12,UFA,2021,"$6,083,333","$6,083,333","$7,750,000","$7,750,000",$0,$0,2012-13,60000000,0.10138888333333333
Mike Green,-,26,"Oct. 12, 1985",Canada,RD,Right,29 - Round 1 - 2004 (WSH),WSH,Standard (1-way),26,M-NTC,3,UFA,2015,"$6,083,333","$6,083,333","$6,000,000","$6,000,000",$0,$0,2012-13,60000000,0.10138888333333333
Mike Cammalleri,-,30,"Jun. 8, 1982",Canada,"LW, C",Left,49 - Round 2 - 2001 (LAK),MTL,Standard (1-way),27,M-NTC,5,UFA,2014,"$6,000,000","$6,000,000","$7,000,000","$7,000,000",$0,$0,2012-13,60000000,0.1
Patrik Elias,-,36,"Apr. 13, 1976",Czech Republic,"C, LW",Left,51 - Round 2 - 1994 (NJD),NJD,Standard (1-way),30,NMC,7,UFA,2013,"$6,000,000","$6,000,000","$5,000,000","$5,000,000",$0,$0,2012-13,60000000,0.1
Niklas Bäckström,-,34,"Feb. 13, 1978",Finland,G,Left,-,MIN,Standard (1-way),31,,4,UFA,2013,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0,2012-13,60000000,0.1
Patrick Sharp,-,30,"Dec. 27, 1981",Canada,"LW, C",Right,95 - Round 3 - 2001 (PHI),CHI,Standard (1-way),29,"M-NTC, NMC",5,UFA,2017,"$5,900,000","$5,900,000","$6,000,000","$2,000,000","$4,000,000",$0,2012-13,60000000,0.09833333333333333
Miikka Kiprusoff,-,35,"Oct. 26, 1976",Finland,G,Left,116 - Round 5 - 1995 (SJS),CGY,Standard (1-way),30,NMC,6,UFA,2014,"$5,833,333","$5,833,333","$5,000,000","$5,000,000",$0,$0,2012-13,60000000,0.09722221666666667
Brent Seabrook,TBL,27,"Apr. 20, 1985",Canada,RD,Right,14 - Round 1 - 2003 (CHI),CHI,Standard (1-way),26,M-NTC,5,UFA,2016,"$5,800,000","$5,800,000","$7,000,000","$5,000,000","$2,000,000",$0,2012-13,60000000,0.09666666666666666
Brent Burns,CAR,27,"Mar. 9, 1985",Canada,RD,Right,20 - Round 1 - 2003 (MIN),SJS,Standard (1-way),27,M-NTC,5,UFA,2017,"$5,760,000","$5,760,000","$5,760,000","$5,760,000",$0,$0,2012-13,60000000,0.096
Mike Richards,-,27,"Feb. 11, 1985",Canada,C,Left,24 - Round 1 - 2003 (PHI),PHI,Standard (1-way),23,NMC,12,UFA,2020,"$5,750,000","$5,750,000","$8,400,000","$8,400,000",$0,$0,2012-13,60000000,0.09583333333333334
Andrei Markov,-,33,"Dec. 20, 1978",Russia,LD,Left,162 - Round 6 - 1998 (MTL),MTL,Standard (1-way),32,M-NTC,3,UFA,2014,"$5,750,000","$5,750,000","$5,750,000","$5,750,000",$0,$0,2012-13,60000000,0.09583333333333334
Ilya Bryzgalov,-,32,"Jun. 22, 1980",Russia,G,Left,44 - Round 2 - 2000 (ANA),PHI,Standard (1-way),31,,9,UFA,2020,"$5,666,667","$5,666,667","$6,500,000","$6,500,000",$0,$0,2012-13,60000000,0.09444445
Martin St. Louis,-,37,"Jun. 18, 1975",Canada,RW,Left,-,TBL,35+ (1-way),35,NMC,4,UFA,2015,"$5,625,000","$5,625,000","$5,500,000","$3,500,000","$2,000,000",$0,2012-13,60000000,0.09375
Lubomir Visnovsky,-,35,"Aug. 11, 1976",Slovakia,RD,Left,118 - Round 4 - 2000 (LAK),LAK,Standard (1-way),30,,5,UFA,2013,"$5,600,000","$5,600,000","$3,000,000","$3,000,000",$0,$0,2012-13,60000000,0.09333333333333334
Duncan Keith,-,28,"Jul. 16, 1983",Canada,LD,Left,54 - Round 2 - 2002 (CHI),CHI,Standard (1-way),26,NMC,13,UFA,2023,"$5,538,462","$5,538,462","$8,000,000","$6,500,000","$1,500,000",$0,2012-13,60000000,0.0923077
John Tavares,TOR,21,"Sep. 20, 1990",Canada,"C, LW",Left,1 - Round 1 - 2009 (NYI),NYI,Standard (1-way),20,,6,UFA,2018,"$5,500,000","$5,500,000","$4,000,000","$4,000,000",$0,$0,2012-13,60000000,0.09166666666666666
Mikhail Grabovski,-,28,"Jan. 31, 1984",Germany,"C, RW",Left,150 - Round 5 - 2004 (MTL),TOR,Standard (1-way),28,,5,UFA,2017,"$5,500,000","$5,500,000","$6,000,000","$4,500,000","$1,500,000",$0,2012-13,60000000,0.09166666666666666
Sergei Gonchar,-,38,"Apr. 13, 1974",Russia,LD,Left,14 - Round 1 - 1992 (WSH),OTT,35+ (1-way),36,"M-NTC, NMC",3,UFA,2013,"$5,500,000","$5,500,000","$5,500,000","$5,500,000",$0,$0,2012-13,60000000,0.09166666666666666
Shawn Horcoff,-,33,"Sep. 17, 1978",Canada,C,Left,99 - Round 4 - 1998 (EDM),EDM,Standard (1-way),30,NMC,6,UFA,2015,"$5,500,000","$5,500,000","$6,000,000","$6,000,000",$0,$0,2012-13,60000000,0.09166666666666666
Matthew Carle,-,27,"Sep. 25, 1984",United States,LD,Left,47 - Round 2 - 2003 (SJS),TBL,Standard (1-way),27,M-NTC,6,UFA,2018,"$5,500,000","$5,500,000","$5,000,000","$2,000,000","$3,000,000",$0,2012-13,60000000,0.09166666666666666
Tyler Myers,VAN,22,"Feb. 1, 1990",United States,RD,Right,12 - Round 1 - 2008 (BUF),BUF,Standard (1-way),22,,7,UFA,2019,"$5,500,000","$5,500,000","$12,000,000","$2,000,000","$10,000,000",$0,2012-13,60000000,0.09166666666666666
James Wisniewski,-,28,"Feb. 21, 1984",United States,RD,Right,156 - Round 5 - 2002 (CHI),CBJ,Standard (1-way),27,"M-NTC, NMC",6,UFA,2017,"$5,500,000","$5,500,000","$7,000,000","$4,000,000","$3,000,000",$0,2012-13,60000000,0.09166666666666666
Phil Kessel,-,24,"Oct. 2, 1987",United States,RW,Right,5 - Round 1 - 2006 (BOS),TOR,Standard (1-way),21,,5,UFA,2014,"$5,400,000","$5,400,000","$5,100,000","$5,100,000",$0,$0,2012-13,60000000,0.09
Roberto Luongo,-,33,"Apr. 4, 1979",Canada,G,Left,4 - Round 1 - 1997 (NYI),VAN,Standard (1-way),31,NTC,12,UFA,2022,"$5,333,333","$5,333,333","$6,714,000","$6,714,000",$0,$0,2012-13,60000000,0.08888888333333334
Corey Perry,EDM,27,"May 16, 1985",Canada,RW,Right,28 - Round 1 - 2003 (ANA),ANA,Standard (1-way),23,NMC,5,UFA,2013,"$5,325,000","$5,325,000","$4,875,000","$4,875,000",$0,$0,2012-13,60000000,0.08875
Ryan Getzlaf,-,27,"May 10, 1985",Canada,C,Right,19 - Round 1 - 2003 (ANA),ANA,Standard (1-way),23,NMC,5,UFA,2013,"$5,325,000","$5,325,000","$6,125,000","$6,125,000",$0,$0,2012-13,60000000,0.08875
Jason Pominville,-,29,"Nov. 30, 1982",Canada,RW,Right,55 - Round 2 - 2001 (BUF),BUF,Standard (1-way),25,"M-NTC, NMC",5,UFA,2014,"$5,300,000","$5,300,000","$5,500,000","$5,500,000",$0,$0,2012-13,60000000,0.08833333333333333
Shane Doan,-,35,"Oct. 10, 1976",Canada,"RW, LW",Right,7 - Round 1 - 1995 (WPG),ARI,35+ (1-way),35,NMC,4,UFA,2016,"$5,300,000","$5,300,000","$6,050,000","$4,050,000","$2,000,000",$0,2012-13,60000000,0.08833333333333333
Marián Hossa,-,33,"Jan. 12, 1979",Slovakia,RW,Left,12 - Round 1 - 1997 (OTT),CHI,Standard (1-way),30,NMC,12,UFA,2021,"$5,275,000","$5,275,000","$7,900,000","$7,900,000",$0,$0,2012-13,60000000,0.08791666666666667
Jeff Carter,PIT,27,"Jan. 1, 1985",Canada,"RW, C",Right,11 - Round 1 - 2003 (PHI),PHI,Standard (1-way),25,,11,UFA,2022,"$5,272,727","$5,272,727","$6,250,000","$6,250,000",$0,$0,2012-13,60000000,0.08787878333333334
Evander Kane,EDM,20,"Aug. 2, 1991",Canada,"LW, RW",Left,4 - Round 1 - 2009 (ATL),WPG,Standard (1-way),21,,6,UFA,2018,"$5,250,000","$5,250,000","$3,000,000","$3,000,000",$0,$0,2012-13,60000000,0.0875
David Krejci,-,26,"Apr. 28, 1986",Czech Republic,C,Right,63 - Round 2 - 2004 (BOS),BOS,Standard (1-way),25,,3,UFA,2015,"$5,250,000","$5,250,000","$5,250,000","$5,250,000",$0,$0,2012-13,60000000,0.0875
Keith Yandle,-,25,"Sep. 9, 1986",United States,LD,Left,105 - Round 4 - 2005 (ARI),ARI,Standard (1-way),24,,5,UFA,2016,"$5,250,000","$5,250,000","$5,000,000","$5,000,000",$0,$0,2012-13,60000000,0.0875
Dennis Wideman,-,29,"Mar. 20, 1983",Canada,RD,Right,241 - Round 8 - 2002 (BUF),CGY,Standard (1-way),29,NMC,5,UFA,2017,"$5,250,000","$5,250,000","$5,000,000","$5,000,000",$0,$0,2012-13,60000000,0.0875
Jamie Benn,DAL,22,"Jul. 18, 1989",Canada,"LW, C",Left,129 - Round 5 - 2007 (DAL),DAL,Standard (1-way),22,,5,UFA,2017,"$5,250,000","$5,250,000","$4,500,000","$4,500,000",$0,$0,2012-13,60000000,0.0875
Dustin Byfuglien,-,27,"Mar. 27, 1985",United States,RD,Right,245 - Round 8 - 2003 (CHI),ATL,Standard (1-way),25,M-NTC,5,UFA,2016,"$5,200,000","$5,200,000","$4,250,000","$4,250,000",$0,$0,2012-13,60000000,0.08666666666666667
Bobby Ryan,-,25,"Mar. 17, 1987",United States,"RW, LW",Right,2 - Round 1 - 2005 (ANA),ANA,Standard (1-way),23,,5,UFA,2015,"$5,100,000","$5,100,000","$5,562,500","$5,562,500",$0,$0,2012-13,60000000,0.085
Tim Thomas,-,38,"Apr. 15, 1974",United States,G,Left,217 - Round 9 - 1994 (QUE),BOS,35+ (1-way),34,"NTC, NMC",4,UFA,2013,"$5,000,000","$5,000,000","$3,000,000","$3,000,000",$0,$0,2012-13,60000000,0.08333333333333333
Marc-André Fleury,MIN,27,"Nov. 28, 1984",Canada,G,Left,1 - Round 1 - 2003 (PIT),PIT,Standard (1-way),23,"M-NTC, NMC",7,UFA,2015,"$5,000,000","$5,000,000","$5,500,000","$5,500,000",$0,$0,2012-13,60000000,0.08333333333333333
Paul Martin,-,31,"Mar. 5, 1981",United States,LD,Left,62 - Round 2 - 2000 (NJD),PIT,Standard (1-way),29,"M-NTC, NMC",5,UFA,2015,"$5,000,000","$5,000,000","$4,000,000","$4,000,000",$0,$0,2012-13,60000000,0.08333333333333333
Brian Gionta,-,33,"Jan. 18, 1979",United States,RW,Right,82 - Round 3 - 1998 (NJD),MTL,Standard (1-way),30,NTC,5,UFA,2014,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0,2012-13,60000000,0.08333333333333333
Patrice Bergeron,-,26,"Jul. 24, 1985",Canada,C,Right,45 - Round 2 - 2003 (BOS),BOS,Standard (1-way),25,NMC,3,UFA,2014,"$5,000,000","$5,000,000","$4,550,000","$3,550,000","$1,000,000",$0,2012-13,60000000,0.08333333333333333
Tomas Plekanec,-,29,"Oct. 31, 1982",Czech Republic,C,Left,71 - Round 3 - 2001 (MTL),MTL,Standard (1-way),27,M-NTC,6,UFA,2016,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0,2012-13,60000000,0.08333333333333333
Mike Ribeiro,-,32,"Feb. 10, 1980",Canada,C,Left,45 - Round 2 - 1998 (MTL),DAL,Standard (1-way),27,M-NTC,5,UFA,2013,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0,2012-13,60000000,0.08333333333333333
James Neal,-,24,"Sep. 3, 1987",Canada,"RW, LW",Left,33 - Round 2 - 2005 (DAL),PIT,Standard (1-way),24,,6,UFA,2018,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0,2012-13,60000000,0.08333333333333333
Ryan O'Reilly,NSH,21,"Feb. 7, 1991",Canada,C,Left,33 - Round 2 - 2009 (COL),COL,Standard (1-way),21,,2,RFA,2014,"$5,000,000","$5,000,000","$3,500,000","$1,000,000","$2,500,000",$0,2012-13,60000000,0.08333333333333333
Ales Hemsky,-,28,"Aug. 13, 1983",Czech Republic,RW,Right,13 - Round 1 - 2001 (EDM),EDM,Standard (1-way),28,,2,UFA,2014,"$5,000,000","$5,000,000","$4,500,000","$3,000,000","$1,500,000",$0,2012-13,60000000,0.08333333333333333
Ryan Kesler,-,27,"Aug. 31, 1984",United States,"C, RW",Right,23 - Round 1 - 2003 (VAN),VAN,Standard (1-way),25,NTC,6,UFA,2016,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0,2012-13,60000000,0.08333333333333333
Chris Pronger,-,37,"Oct. 10, 1974",Canada,D,Left,2 - Round 1 - 1993 (HAR),PHI,35+ (1-way),34,NMC,7,UFA,2017,"$4,935,714","$4,935,714","$7,200,000","$6,200,000","$1,000,000",$0,2012-13,60000000,0.0822619
Daniel Alfredsson,-,39,"Dec. 11, 1972",Sweden,RW,Right,133 - Round 6 - 1994 (OTT),OTT,35+ (1-way),36,,4,UFA,2013,"$4,875,000","$4,875,000","$1,000,000","$1,000,000",$0,$0,2012-13,60000000,0.08125
Tim Connolly,-,31,"May 7, 1981",United States,C,Right,5 - Round 1 - 1999 (NYI),TOR,Standard (1-way),30,,2,RFA,2013,"$4,750,000","$4,750,000","$4,000,000","$4,000,000",$0,$0,2012-13,60000000,0.07916666666666666
Niklas Kronwall,-,31,"Jan. 12, 1981",Sweden,LD,Left,29 - Round 1 - 2000 (DET),DET,Standard (1-way),31,NTC,7,UFA,2019,"$4,750,000","$4,750,000","$4,500,000","$3,250,000","$1,250,000",$0,2012-13,60000000,0.07916666666666666
Tuomo Ruutu,-,29,"Feb. 16, 1983",Finland,"LW, RW",Left,9 - Round 1 - 2001 (CHI),CAR,Standard (1-way),29,NMC,4,UFA,2016,"$4,750,000","$4,750,000","$4,000,000","$4,000,000",$0,$0,2012-13,60000000,0.07916666666666666
Andy McDonald,-,34,"Aug. 25, 1977",Canada,C,Left,-,STL,Standard (1-way),31,,4,UFA,2013,"$4,700,000","$4,700,000","$4,200,000","$4,200,000",$0,$0,2012-13,60000000,0.07833333333333334
R.J. Umberger,-,30,"May 3, 1982",United States,C,Left,16 - Round 1 - 2001 (VAN),CBJ,Standard (1-way),30,"NTC, NMC",5,UFA,2017,"$4,600,000","$4,600,000","$5,000,000","$4,000,000","$1,000,000",$0,2012-13,60000000,0.07666666666666666
Kevin Bieksa,-,31,"Jun. 16, 1981",Canada,RD,Right,151 - Round 5 - 2001 (VAN),VAN,Standard (1-way),30,NTC,5,UFA,2016,"$4,600,000","$4,600,000","$4,500,000","$1,000,000","$3,500,000",$0,2012-13,60000000,0.07666666666666666
Alex Goligoski,MIN,26,"Jul. 30, 1985",United States,LD/RD,Left,61 - Round 2 - 2004 (PIT),DAL,Standard (1-way),26,,4,UFA,2016,"$4,600,000","$4,600,000","$4,200,000","$4,200,000",$0,$0,2012-13,60000000,0.07666666666666666
Jason Garrison,-,27,"Nov. 13, 1984",Canada,LD,Left,-,VAN,Standard (1-way),27,NTC,6,UFA,2018,"$4,600,000","$4,600,000","$5,500,000","$2,500,000","$3,000,000",$0,2012-13,60000000,0.07666666666666666
